workers,split,map,shuffle,reduce,fetch
1,9.44,38.50,85.64,18.69,5.88
2,8.78,23.22,44.74,9.41,3.67
3,8.86,16.52,29.71,6.08,2.79
4,8.48,12.76,21.67,4.73,2.39
5,8.50,10.75,17.70,4.09,2.17
6,8.24,9.49,15.13,3.32,1.97
8,8.04,7.85,11.90,2.59,1.79
10,8.10,7.50,9.37,2.37,1.74
12,8.33,7.07,8.14,1.89,1.70
14,8.27,6.58,6.99,1.73,1.67
16,8.36,6.40,6.52,1.50,1.68
18,8.31,6.39,5.81,1.39,1.68
20,8.30,6.06,5.77,1.38,1.68
22,8.40,6.06,5.13,1.23,1.76
24,8.48,5.97,4.96,1.17,1.94
28,8.57,5.89,5.07,1.07,1.74
32,8.66,5.86,4.66,1.06,1.68
36,8.86,5.75,4.54,0.91,1.69
40,8.94,5.79,4.50,0.92,1.67
44,9.01,5.79,4.62,0.87,1.56
50,8.65,5.65,5.30,0.93,1.68
55,8.77,5.73,5.43,0.92,1.66
60,8.95,5.82,5.78,0.95,1.67
65,9.49,5.74,5.81,0.83,1.74
70,9.19,5.82,6.93,0.83,1.62
80,9.75,5.87,7.48,0.80,1.62
85,9.15,6.02,8.09,0.81,1.62
