workers,split,map,shuffle,reduce,fetch
1,3.90,20.24,41.91,9.55,3.64
2,4.14,12.33,22.30,4.84,2.22
3,4.07,8.68,14.87,3.16,1.70
4,3.97,7.07,11.39,2.51,1.49
5,4.13,6.06,9.23,2.19,1.35
6,4.15,5.43,8.02,1.82,1.28
8,4.11,4.61,6.24,1.44,1.21
10,4.18,4.31,5.06,1.30,1.11
12,4.34,4.05,4.40,1.13,1.13
14,4.23,4.03,3.95,1.01,1.11
16,4.38,4.02,4.03,0.94,1.10
18,4.49,3.87,3.74,0.89,1.09
20,4.48,3.82,3.50,0.85,1.09
22,4.46,3.76,3.33,0.79,1.05
24,4.34,3.75,3.30,0.75,1.07
28,4.43,3.68,3.11,0.72,1.06
32,4.54,3.62,3.20,0.71,1.07
36,4.53,3.65,3.33,0.65,1.07
40,4.64,3.67,3.70,0.66,1.11
44,5.12,3.64,3.84,0.64,1.09
50,4.78,3.66,4.05,0.72,1.06
55,4.76,3.64,4.92,0.67,1.06
60,4.46,3.63,5.10,0.64,1.11
65,4.76,3.80,5.21,0.67,1.05
70,5.12,3.83,6.43,0.63,1.10
80,4.98,3.91,6.87,0.71,1.14
85,4.79,4.02,7.75,0.69,1.14
