workers,split,map,shuffle,reduce,fetch
1,14.19,74.82,165.83,36.91,9.97
2,21.40,42.90,85.43,18.24,6.03
3,16.12,29.79,56.66,11.46,4.48
4,16.31,23.85,41.46,8.82,3.96
5,15.91,19.52,33.70,7.56,3.53
6,16.12,17.18,31.00,6.10,3.19
8,16.26,14.19,23.07,4.69,3.04
10,16.06,13.18,17.59,4.15,2.89
12,16.24,12.31,14.77,3.36,2.68
14,16.16,11.76,13.14,2.96,2.74
16,15.91,11.49,11.49,2.60,2.74
18,16.20,11.07,10.19,2.40,2.64
20,16.34,10.94,9.24,2.27,2.73
22,16.52,10.73,8.63,2.09,2.71
24,16.42,10.70,8.04,1.99,2.70
28,16.13,10.38,7.33,1.78,2.78
32,16.24,10.16,6.67,1.70,2.70
36,16.67,10.04,6.97,1.54,2.75
40,16.91,10.00,6.40,1.42,2.68
44,16.78,9.93,6.01,1.44,2.94
50,16.78,9.79,6.38,1.59,2.81
55,17.15,9.81,6.88,1.40,2.66
60,17.05,9.70,6.33,1.27,2.74
65,17.06,9.67,6.80,1.25,2.77
70,17.38,9.77,6.59,1.13,2.67
80,17.52,9.91,8.51,1.26,2.84
85,17.89,9.92,8.56,1.08,2.66
