workers,split,map,shuffle,reduce,fetch
1,0.02,1.34,1.00,0.37,0.31
2,0.01,1.31,1.08,0.36,0.31
3,0.01,1.31,0.98,0.36,0.31
4,0.02,1.33,1.08,0.37,0.31
5,0.02,1.33,0.94,0.36,0.31
6,0.02,1.35,0.97,0.36,0.33
8,0.03,1.29,0.86,0.37,0.32
10,0.03,1.28,0.97,0.37,0.31
12,0.04,1.28,1.50,0.36,0.33
14,0.04,1.29,1.58,0.36,0.33
16,0.05,1.36,1.59,0.37,0.32
18,0.05,1.31,1.75,0.36,0.33
20,0.06,1.44,1.62,0.37,0.34
22,0.06,1.39,1.84,0.36,0.34
24,0.07,1.47,1.78,0.37,0.33
28,0.08,1.34,1.83,0.42,0.34
32,0.09,1.40,2.00,0.41,0.36
36,0.10,1.52,2.46,0.40,0.37
40,0.11,1.50,3.08,0.39,0.38
44,0.11,1.46,2.77,0.39,0.40
55,0.14,1.53,3.45,0.43,0.42
55,0.15,1.53,3.73,0.47,0.44
60,0.16,1.57,3.94,0.47,0.49
65,0.18,1.62,4.49,0.49,0.53
70,0.19,1.73,4.44,0.54,0.55
80,0.22,1.96,5.90,0.54,0.61
85,0.21,2.02,5.37,0.56,0.59
