workers,split,map,shuffle,reduce,fetch
1,31.55,112.92,256.43,55.10,12.69
2,26.02,67.41,130.49,27.76,7.95
3,31.51,45.37,82.85,17.81,6.22
4,29.91,35.34,61.56,13.48,5.08
5,25.65,28.32,49.84,11.61,4.79
6,24.32,24.68,41.14,9.06,4.46
8,24.43,20.15,32.01,6.89,3.81
10,24.84,18.91,25.19,6.05,3.83
12,24.80,17.57,21.14,4.78,3.63
14,24.18,16.72,18.43,4.31,3.64
16,24.32,16.00,16.95,3.72,3.58
18,24.27,15.69,14.40,3.39,3.54
20,24.46,15.56,13.70,3.33,3.59
22,23.81,15.39,12.93,2.93,3.57
24,24.02,15.14,11.65,2.81,3.56
28,24.16,14.66,9.97,2.47,3.62
32,24.52,14.42,9.51,2.45,3.52
36,25.02,14.32,8.53,2.13,3.71
40,24.17,14.20,8.25,1.96,3.70
44,23.93,14.00,8.12,2.08,4.07
50,24.47,13.79,8.36,2.11,3.66
55,24.70,13.64,8.16,1.88,3.68
60,25.20,13.79,8.07,1.67,3.88
65,25.54,13.72,8.00,1.58,3.87
70,25.46,13.71,8.21,1.52,3.55
80,25.50,13.70,8.91,1.62,3.36
85,25.43,13.72,9.01,1.40,3.46
